sell,buy,installment,tgl
1367652,1333460,1367652,2024-09-01
1367652,1333460,1367652,2024-08-31
1367288,1333105,1367288,2024-08-30
1366257,1332100,1366257,2024-08-29
1364208,1330102,1364208,2024-08-28
1369301,1335068,1369301,2024-08-27
1369246,1335014,1369246,2024-08-26
1357643,1323701,1357643,2024-08-25
1357643,1323701,1357643,2024-08-24
1357318,1323385,1357318,2024-08-23
1364271,1330164,1364271,2024-08-22
1369190,1334960,1369190,2024-08-21
1373308,1338975,1373308,2024-08-20
1373244,1338912,1373244,2024-08-19
1361786,1327741,1361786,2024-08-18
1361786,1327741,1361786,2024-08-17
1361359,1327325,1361359,2024-08-16
1369136,1334907,1369136,2024-08-15
1374038,1339687,1374038,2024-08-14
1377314,1342881,1377314,2024-08-13
1359362,1325377,1359362,2024-08-12
1368624,1334408,1368624,2024-08-11
1368624,1334408,1368624,2024-08-10
1368193,1333988,1368193,2024-08-09
1357162,1323232,1357162,2024-08-08
1357148,1323219,1357148,2024-08-07
1366190,1332035,1366190,2024-08-06
1371185,1336905,1371185,2024-08-05
1380760,1346241,1380760,2024-08-04
1380760,1346241,1380760,2024-08-03
1380552,1346038,1380552,2024-08-02
1384567,1349952,1384567,2024-08-01
1368455,1334243,1368455,2024-07-31
1358349,1324390,1358349,2024-07-30
1359447,1325460,1359447,2024-07-29
1335534,1302145,1335534,2024-07-28
1335534,1302145,1335534,2024-07-27
1335165,1301785,1335165,2024-07-26
1349038,1315312,1349038,2024-07-25
1355419,1321533,1355419,2024-07-24
1352327,1318518,1352327,2024-07-23
1352268,1318461,1352268,2024-07-22
1367671,1333479,1367671,2024-07-21
1367671,1333479,1367671,2024-07-20
1367271,1333089,1367271,2024-07-19
1374550,1340186,1374550,2024-07-18
1365647,1331505,1365647,2024-07-17
1351520,1317732,1351520,2024-07-16
1347393,1313708,1347393,2024-07-15
1347735,1314041,1347735,2024-07-14
1347735,1314041,1347735,2024-07-13
1347257,1313575,1347257,2024-07-12
1334290,1300932,1334290,2024-07-11
1328281,1295073,1328281,2024-07-10
1337212,1303781,1337212,2024-07-09
1344236,1310630,1344236,2024-07-08
1329730,1296486,1329730,2024-07-07
1329730,1296486,1329730,2024-07-06
1329321,1296087,1329321,2024-07-05
1326253,1293096,1326253,2024-07-04
1313303,1280470,1313303,2024-07-03
1316149,1283245,1316149,2024-07-02
1311141,1278362,1311141,2024-07-01
1308529,1275815,1308529,2024-06-30
1308529,1275815,1308529,2024-06-29
1308148,1275444,1308148,2024-06-28
1298156,1265702,1298156,2024-06-27
1309031,1276305,1309031,2024-06-26
1314137,1281283,1314137,2024-06-25
1308144,1275440,1308144,2024-06-24
1319552,1286563,1319552,2024-06-23
1319552,1286563,1319552,2024-06-22
1319273,1286291,1319273,2024-06-21
1303377,1270792,1303377,2024-06-20
1297191,1264761,1297191,2024-06-19
1290210,1257954,1290210,2024-06-18
1282258,1250201,1282258,2024-06-17
1282725,1250656,1282725,2024-06-16
1282725,1250656,1282725,2024-06-15
1282321,1250262,1282321,2024-06-14
1290030,1257779,1290030,2024-06-13
1287091,1254913,1287091,2024-06-12
1279112,1247134,1279112,2024-06-11
1278064,1246112,1278064,2024-06-10
1313358,1280524,1313358,2024-06-09
1313358,1280524,1313358,2024-06-08
1312966,1280141,1312966,2024-06-07
1297273,1264841,1297273,2024-06-06
1285247,1253115,1285247,2024-06-05
1297125,1264696,1297125,2024-06-04
1283155,1251076,1283155,2024-06-03
1286501,1254338,1286501,2024-06-02
1286501,1254338,1286501,2024-06-01
1286211,1254055,1286211,2024-05-31
1278230,1246274,1278230,2024-05-30
1286194,1254039,1286194,2024-05-29
1281140,1249111,1281140,2024-05-28
1276158,1244254,1276158,2024-05-27
1274400,1242540,1274400,2024-05-26
1274400,1242540,1274400,2024-05-25
1274069,1242217,1274069,2024-05-24
1305092,1272464,1305092,2024-05-23
1305342,1272708,1305342,2024-05-22
1306391,1273731,1306391,2024-05-21
1298379,1265919,1298379,2024-05-20
1291723,1259429,1291723,2024-05-19
1291723,1259429,1291723,2024-05-18
1291290,1259007,1291290,2024-05-17
1302092,1269539,1302092,2024-05-16
1280104,1248101,1280104,2024-05-15
1273184,1241354,1273184,2024-05-14
1281113,1249085,1281113,2024-05-13
1276613,1244697,1276613,2024-05-12
1276613,1244697,1276613,2024-05-11
1276205,1244299,1276205,2024-05-10
1257408,1225972,1257408,2024-05-09
1256960,1225536,1256960,2024-05-08
1265969,1234319,1265969,2024-05-07
1259031,1227555,1259031,2024-05-06
1267213,1235532,1267213,2024-05-05
1267213,1235532,1267213,2024-05-04
1266787,1235117,1266787,2024-05-03
1275895,1243997,1275895,2024-05-02
1273402,1241566,1273402,2024-05-01
1273050,1241223,1273050,2024-04-30
1274172,1242317,1274172,2024-04-29
1268595,1236880,1268595,2024-04-28
1268595,1236880,1268595,2024-04-27
1268213,1236507,1268213,2024-04-26
1268093,1236390,1268093,2024-04-25
1269076,1237349,1269076,2024-04-24
1273986,1242136,1273986,2024-04-23
1291670,1259378,1291670,2024-04-22
1293706,1261363,1293706,2024-04-21
1293706,1261363,1293706,2024-04-20
1293238,1260907,1293238,2024-04-19
1284375,1252265,1284375,2024-04-18
1271482,1239694,1271482,2024-04-17
1271403,1239617,1271403,2024-04-16
1269139,1237410,1269139,2024-04-15
1228683,1197965,1228683,2024-04-14
1228683,1197965,1228683,2024-04-13
1228584,1197869,1228584,2024-04-12
1228157,1197453,1228157,2024-04-11
1228076,1197374,1228076,2024-04-10
1228102,1197399,1228102,2024-04-09
1227973,1197273,1227973,2024-04-08
1228358,1197649,1228358,2024-04-07
1228358,1197649,1228358,2024-04-06
1227848,1197151,1227848,2024-04-05
1230773,1200003,1230773,2024-04-04
1221803,1191257,1221803,2024-04-03
1203757,1173663,1203757,2024-04-02
1201618,1171577,1201618,2024-04-01
1170992,1141717,1170992,2024-03-31
1170992,1141717,1170992,2024-03-30
1167669,1138477,1167669,2024-03-29
1167572,1138382,1167572,2024-03-28
1159574,1130584,1159574,2024-03-27
1155476,1126589,1155476,2024-03-26
1145521,1116882,1145521,2024-03-25
1152065,1123263,1152065,2024-03-24
1152065,1123263,1152065,2024-03-23
1152467,1123655,1152467,2024-03-22
1162327,1133268,1162327,2024-03-21
1142402,1113841,1142402,2024-03-20
1142394,1113834,1142394,2024-03-19
1135450,1107063,1135450,2024-03-18
1135054,1106677,1135054,2024-03-17
1135054,1106677,1135054,2024-03-16
1135418,1107032,1135418,2024-03-15
1145325,1116691,1145325,2024-03-14
1142348,1113789,1142348,2024-03-13
1152217,1123411,1152217,2024-03-12
1145347,1116713,1145347,2024-03-11
1144998,1116373,1144998,2024-03-10
1144998,1116373,1144998,2024-03-09
1145293,1116660,1145293,2024-03-08
1141326,1112792,1141326,2024-03-07
1128389,1100179,1128389,2024-03-06
1121454,1093417,1121454,2024-03-05
1106381,1078721,1106381,2024-03-04
1084130,1057026,1084130,2024-03-03
1084130,1057026,1084130,2024-03-02
1084298,1057190,1084298,2024-03-01
1080307,1053299,1080307,2024-02-29
1078972,1051997,1078972,2024-02-28
1076959,1050035,1076959,2024-02-27
1079891,1052893,1079891,2024-02-26
1074889,1048016,1074889,2024-02-25
1074889,1048016,1074889,2024-02-24
1075159,1048280,1075159,2024-02-23
1075136,1048257,1075136,2024-02-22
